epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,86.1514,0.88963,0.87493,1.36619,0.84709,0.91667,0.89456,0.2692,2.74346,1.86021,2.52007,0.000429722,0.000429722,0.000429722
33,88.8933,0.75985,0.80629,1.27777,0.90057,0.91667,0.90123,0.31465,2.58086,1.81639,2.42376,0.000437248,0.000437248,0.000437248
34,91.8891,0.78119,0.82086,1.29409,0.90057,0.91667,0.90123,0.31465,2.58086,1.81639,2.42376,0.000444378,0.000444378,0.000444378
35,95.3088,0.80989,0.81607,1.29848,0.91632,0.91286,0.90123,0.36849,2.4242,1.74859,2.3264,0.000451112,0.000451112,0.000451112
36,98.1833,0.75665,0.80574,1.29766,0.91632,0.91286,0.90123,0.36849,2.4242,1.74859,2.3264,0.00045745,0.00045745,0.00045745
37,101.029,0.81061,0.82127,1.28916,0.90513,0.91667,0.8879,0.4009,2.25807,1.65849,2.23341,0.000463392,0.000463392,0.000463392
38,103.814,0.6924,0.76487,1.21839,0.90513,0.91667,0.8879,0.4009,2.25807,1.65849,2.23341,0.000468938,0.000468938,0.000468938
39,106.624,0.69232,0.72484,1.23093,0.9688,1,0.995,0.46751,2.12396,1.51001,2.14148,0.000474088,0.000474088,0.000474088
40,109.433,0.77492,0.81041,1.2691,0.9688,1,0.995,0.46751,2.12396,1.51001,2.14148,0.000478842,0.000478842,0.000478842
41,112.182,0.75285,0.74172,1.23857,0.97025,1,0.995,0.43941,2.09871,1.3935,2.09246,0.0004832,0.0004832,0.0004832
42,114.941,0.62634,0.68577,1.16501,0.97025,1,0.995,0.43941,2.09871,1.3935,2.09246,0.000487162,0.000487162,0.000487162
43,117.736,0.74983,0.75831,1.16954,0.94128,0.91667,0.98885,0.43049,2.04898,1.35141,2.03789,0.000490728,0.000490728,0.000490728
44,120.458,0.67105,0.72339,1.156,0.94128,0.91667,0.98885,0.43049,2.04898,1.35141,2.03789,0.000493898,0.000493898,0.000493898
45,123.306,0.66061,0.7419,1.16511,0.9976,0.91667,0.95674,0.41006,2.13278,1.44625,2.10191,0.000496672,0.000496672,0.000496672
46,126.018,0.71608,0.74775,1.26146,0.9976,0.91667,0.95674,0.41006,2.13278,1.44625,2.10191,0.00049905,0.00049905,0.00049905
47,128.638,0.72549,0.70235,1.21331,0.97651,1,0.995,0.40212,2.22246,1.59586,2.21118,0.000501032,0.000501032,0.000501032
48,131.356,0.56922,0.6285,1.12122,0.97651,1,0.995,0.40212,2.22246,1.59586,2.21118,0.000502618,0.000502618,0.000502618
49,134.112,0.59903,0.6481,1.12409,0.96229,1,0.995,0.40848,2.23164,1.67812,2.24557,0.000503808,0.000503808,0.000503808
50,136.813,0.52917,0.603,1.11937,0.96229,1,0.995,0.40848,2.23164,1.67812,2.24557,0.000504602,0.000504602,0.000504602
51,139.588,0.6625,0.69947,1.17146,0.98312,1,0.995,0.45129,2.1591,1.61797,2.19971,0.000505,0.000505,0.000505
52,142.322,0.60868,0.6657,1.17019,0.98312,1,0.995,0.45129,2.1591,1.61797,2.19971,0.000505002,0.000505002,0.000505002
53,145.083,0.55441,0.65586,1.13416,0.98312,1,0.995,0.45129,2.1591,1.61797,2.19971,0.000504608,0.000504608,0.000504608
54,147.838,0.57464,0.67764,1.10934,0.99075,1,0.995,0.52978,1.89534,1.40363,2.01046,0.000503818,0.000503818,0.000503818
55,150.575,0.67459,0.69523,1.13733,0.99075,1,0.995,0.52978,1.89534,1.40363,2.01046,0.000502632,0.000502632,0.000502632
56,153.477,0.6384,0.67585,1.13758,0.99075,1,0.995,0.52978,1.89534,1.40363,2.01046,0.00050105,0.00050105,0.00050105
57,156.224,0.59105,0.63605,1.12381,0.99319,1,0.995,0.61489,1.44551,1.1351,1.73391,0.000499072,0.000499072,0.000499072
58,158.939,0.56228,0.65828,1.06517,0.99319,1,0.995,0.61489,1.44551,1.1351,1.73391,0.000496698,0.000496698,0.000496698
59,161.702,0.50881,0.59909,1.10651,0.99319,1,0.995,0.61489,1.44551,1.1351,1.73391,0.000493928,0.000493928,0.000493928
60,164.5,0.61254,0.63962,1.1398,0.99439,1,0.995,0.75491,0.96225,0.88795,1.47136,0.000490762,0.000490762,0.000490762
61,167.216,0.57012,0.63034,1.12438,0.99439,1,0.995,0.75491,0.96225,0.88795,1.47136,0.0004872,0.0004872,0.0004872
62,170.396,0.54149,0.60526,1.11131,0.99439,1,0.995,0.75491,0.96225,0.88795,1.47136,0.000483242,0.000483242,0.000483242
63,173.223,0.53321,0.60516,1.10917,0.99546,1,0.995,0.82111,0.73482,0.73565,1.30044,0.000478888,0.000478888,0.000478888
64,176.044,0.51506,0.57771,1.0664,0.99546,1,0.995,0.82111,0.73482,0.73565,1.30044,0.000474138,0.000474138,0.000474138
65,179.04,0.55388,0.61796,1.12498,0.99546,1,0.995,0.82111,0.73482,0.73565,1.30044,0.000468992,0.000468992,0.000468992
66,182.012,0.53986,0.61098,1.14639,0.99549,1,0.995,0.84832,0.68517,0.6567,1.21049,0.00046345,0.00046345,0.00046345
67,184.87,0.6187,0.57652,1.14125,0.99549,1,0.995,0.84832,0.68517,0.6567,1.21049,0.000457512,0.000457512,0.000457512
68,187.647,0.55366,0.58111,1.12367,0.99549,1,0.995,0.84832,0.68517,0.6567,1.21049,0.000451178,0.000451178,0.000451178
69,190.573,0.54776,0.59254,1.09189,0.9956,1,0.995,0.88341,0.65578,0.59955,1.15873,0.000444448,0.000444448,0.000444448
70,193.49,0.59982,0.61301,1.12792,0.9956,1,0.995,0.88341,0.65578,0.59955,1.15873,0.000437322,0.000437322,0.000437322
71,196.339,0.56314,0.63569,1.06137,0.9956,1,0.995,0.88341,0.65578,0.59955,1.15873,0.0004298,0.0004298,0.0004298
72,199.166,0.54816,0.58635,1.09656,0.99573,1,0.995,0.88354,0.63794,0.5652,1.12525,0.000421882,0.000421882,0.000421882
73,202.011,0.56396,0.59768,1.14798,0.99573,1,0.995,0.88354,0.63794,0.5652,1.12525,0.000413568,0.000413568,0.000413568
74,204.933,0.53557,0.55125,1.10157,0.99573,1,0.995,0.88354,0.63794,0.5652,1.12525,0.000404858,0.000404858,0.000404858
75,207.768,0.49651,0.52679,1.04453,0.99582,1,0.995,0.88534,0.60623,0.54547,1.0877,0.000395752,0.000395752,0.000395752
76,210.667,0.54373,0.58226,1.08899,0.99582,1,0.995,0.88534,0.60623,0.54547,1.0877,0.00038625,0.00038625,0.00038625
77,213.762,0.60124,0.6549,1.11628,0.99582,1,0.995,0.88534,0.60623,0.54547,1.0877,0.000376352,0.000376352,0.000376352
78,216.716,0.51225,0.53984,1.03014,0.99585,1,0.995,0.86834,0.58488,0.52578,1.06549,0.000366058,0.000366058,0.000366058
79,219.556,0.50575,0.55209,1.05782,0.99585,1,0.995,0.86834,0.58488,0.52578,1.06549,0.000355368,0.000355368,0.000355368
80,222.288,0.50025,0.54672,1.07763,0.99585,1,0.995,0.86834,0.58488,0.52578,1.06549,0.000344282,0.000344282,0.000344282
81,225.12,0.58179,0.63173,1.10804,0.99592,1,0.995,0.86951,0.55419,0.49467,1.04339,0.0003328,0.0003328,0.0003328
82,227.927,0.50844,0.55099,1.05473,0.99592,1,0.995,0.86951,0.55419,0.49467,1.04339,0.000320922,0.000320922,0.000320922
83,230.642,0.55948,0.57409,1.07635,0.99592,1,0.995,0.86951,0.55419,0.49467,1.04339,0.000308648,0.000308648,0.000308648
84,233.525,0.54119,0.63406,1.08113,0.99592,1,0.995,0.89647,0.52748,0.47928,1.02382,0.000295978,0.000295978,0.000295978
85,236.37,0.48723,0.63633,1.12367,0.99592,1,0.995,0.89647,0.52748,0.47928,1.02382,0.000282912,0.000282912,0.000282912
86,239.157,0.48903,0.53245,1.04265,0.99592,1,0.995,0.89647,0.52748,0.47928,1.02382,0.00026945,0.00026945,0.00026945
87,241.974,0.53675,0.53889,1.08437,0.99592,1,0.995,0.89647,0.52748,0.47928,1.02382,0.000255592,0.000255592,0.000255592
88,244.993,0.49706,0.56234,1.07411,0.99596,1,0.995,0.90071,0.51637,0.4671,1.01395,0.000241338,0.000241338,0.000241338
89,247.797,0.5034,0.55466,1.07176,0.99596,1,0.995,0.90071,0.51637,0.4671,1.01395,0.000226688,0.000226688,0.000226688
90,250.48,0.5199,0.55511,1.06527,0.99596,1,0.995,0.90071,0.51637,0.4671,1.01395,0.000211642,0.000211642,0.000211642
91,253.154,0.45168,0.7813,1.00106,0.99596,1,0.995,0.90071,0.51637,0.4671,1.01395,0.0001962,0.0001962,0.0001962
92,256.042,0.43951,0.72849,0.97306,0.99596,1,0.995,0.90805,0.51192,0.46087,1.00685,0.000180362,0.000180362,0.000180362
93,258.81,0.45658,0.70872,1.00769,0.99596,1,0.995,0.90805,0.51192,0.46087,1.00685,0.000164128,0.000164128,0.000164128
94,261.506,0.47433,0.74858,1.01047,0.99596,1,0.995,0.90805,0.51192,0.46087,1.00685,0.000147498,0.000147498,0.000147498
95,264.236,0.43414,0.67706,0.96763,0.99596,1,0.995,0.90805,0.51192,0.46087,1.00685,0.000130472,0.000130472,0.000130472
96,266.956,0.42201,0.69331,1.01465,0.99598,1,0.995,0.9032,0.51374,0.46015,1.00027,0.00011305,0.00011305,0.00011305
97,269.715,0.45046,0.6981,1.00922,0.99598,1,0.995,0.9032,0.51374,0.46015,1.00027,9.5232e-05,9.5232e-05,9.5232e-05
98,272.576,0.40999,0.64117,0.98818,0.99598,1,0.995,0.9032,0.51374,0.46015,1.00027,7.7018e-05,7.7018e-05,7.7018e-05
99,275.411,0.40431,0.64714,0.96949,0.99598,1,0.995,0.9032,0.51374,0.46015,1.00027,5.8408e-05,5.8408e-05,5.8408e-05
100,278.248,0.42217,0.64238,1.00906,0.99594,1,0.995,0.91946,0.51503,0.45952,0.99513,3.9402e-05,3.9402e-05,3.9402e-05
