epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.51178,2.30954,2.20857,2.18482,0.00833,0.83333,0.27972,0.04482,3.22409,2.74169,3.34509,0,0,0
2,6.58062,2.37297,2.15281,2.19479,0.00917,0.91667,0.26893,0.05887,2.94329,2.72455,2.68211,1.9802e-05,1.9802e-05,1.9802e-05
3,9.55371,2.19328,2.06947,2.19073,0.00917,0.91667,0.19264,0.07033,2.53114,2.79087,2.56164,3.9208e-05,3.9208e-05,3.9208e-05
4,12.4873,2.36172,2.06858,2.23134,0.00833,0.83333,0.33376,0.072,2.87906,2.85715,2.8722,5.8218e-05,5.8218e-05,5.8218e-05
5,15.2059,2.30008,2.0342,2.13999,0.00833,0.83333,0.28621,0.09053,2.54548,2.79341,2.71369,7.6832e-05,7.6832e-05,7.6832e-05
6,17.9227,2.19236,2.11648,2.03868,0.00917,0.91667,0.32554,0.15119,2.36594,2.72319,2.63792,9.505e-05,9.505e-05,9.505e-05
7,20.5509,2.20508,1.90238,2.06502,0.00917,0.91667,0.46959,0.21946,2.06365,2.64094,2.38863,0.000112872,0.000112872,0.000112872
8,23.2145,1.9924,1.79689,2.01472,0.01,1,0.49369,0.28836,1.90034,2.55007,2.25147,0.000130298,0.000130298,0.000130298
9,26.0397,1.91311,1.84639,1.9738,0.01,1,0.60173,0.35472,1.74284,2.47827,2.07702,0.000147328,0.000147328,0.000147328
10,28.8374,1.85031,1.71981,1.90845,0.01,1,0.62658,0.36125,1.76249,2.41582,2.00641,0.000163962,0.000163962,0.000163962
11,31.3694,1.60124,1.53576,1.7602,0.03399,0.91667,0.75711,0.43335,1.84358,2.36463,1.97694,0.0001802,0.0001802,0.0001802
12,33.9534,1.5375,1.48249,1.75268,0.0353,0.91667,0.77664,0.42461,1.95396,2.32614,2.00692,0.000196042,0.000196042,0.000196042
13,36.4997,1.40057,1.45263,1.63098,0.08617,0.91667,0.80449,0.41532,1.98634,2.24948,2.0003,0.000211488,0.000211488,0.000211488
14,38.97,1.51625,1.44583,1.70908,0.20942,0.91667,0.81365,0.42182,2.03049,2.21587,2.01845,0.000226538,0.000226538,0.000226538
15,41.5299,1.70461,1.65544,1.76327,0.24105,0.91667,0.84425,0.37335,2.16031,2.2054,2.09735,0.000241192,0.000241192,0.000241192
16,44.011,1.19555,1.19717,1.5464,0.46806,0.83333,0.87462,0.34336,2.30146,2.18732,2.21913,0.00025545,0.00025545,0.00025545
17,46.4692,1.26345,1.2342,1.59678,0.75343,0.83333,0.86635,0.27972,2.45013,2.18525,2.33985,0.000269312,0.000269312,0.000269312
18,48.8926,1.13063,1.13818,1.48688,0.75343,0.83333,0.86635,0.27972,2.45013,2.18525,2.33985,0.000282778,0.000282778,0.000282778
19,51.3375,1.33139,1.24062,1.55342,0.90081,0.75746,0.84835,0.20723,2.65544,2.18402,2.52144,0.000295848,0.000295848,0.000295848
20,53.7378,1.22869,1.17324,1.62823,0.90081,0.75746,0.84835,0.20723,2.65544,2.18402,2.52144,0.000308522,0.000308522,0.000308522
21,56.195,1.19568,1.12183,1.47651,0.92793,0.66667,0.85253,0.158,2.92378,2.17759,2.72705,0.0003208,0.0003208,0.0003208
22,58.8252,1.06204,1.06041,1.43294,0.92793,0.66667,0.85253,0.158,2.92378,2.17759,2.72705,0.000332682,0.000332682,0.000332682
23,61.5841,1.02928,1.04897,1.44202,0.77969,0.59049,0.72134,0.13326,3.07381,2.13977,2.82794,0.000344168,0.000344168,0.000344168
24,64.3562,1.06186,1.01753,1.4489,0.77969,0.59049,0.72134,0.13326,3.07381,2.13977,2.82794,0.000355258,0.000355258,0.000355258
25,67.1028,0.88885,0.92012,1.3687,0.80004,0.66685,0.71637,0.13041,3.21188,2.06809,2.89298,0.000365952,0.000365952,0.000365952
26,69.8585,0.95285,0.93647,1.42461,0.80004,0.66685,0.71637,0.13041,3.21188,2.06809,2.89298,0.00037625,0.00037625,0.00037625
27,72.5841,0.97685,0.96214,1.36562,0.9034,0.78121,0.84833,0.15827,3.15827,2.00947,2.82783,0.000386152,0.000386152,0.000386152
28,75.3112,0.86061,0.86346,1.34496,0.9034,0.78121,0.84833,0.15827,3.15827,2.00947,2.82783,0.000395658,0.000395658,0.000395658
29,77.9844,0.96043,0.96219,1.35802,0.90759,0.81954,0.851,0.17113,3.00965,1.94302,2.70735,0.000404768,0.000404768,0.000404768
30,80.6676,0.85114,0.82595,1.34381,0.90759,0.81954,0.851,0.17113,3.00965,1.94302,2.70735,0.000413482,0.000413482,0.000413482
31,83.4756,0.77123,0.87075,1.24717,0.84709,0.91667,0.89456,0.2692,2.74346,1.86021,2.52007,0.0004218,0.0004218,0.0004218
